create TABLE valid_gps_test as select * from gps where ostdesc not like '%定位无效%';
CREATE INDEX suid_idx ON valid_gps_test (suid);
ALTER TABLE valid_gps_test add column stop integer;
get_suids finished!
get_suids finished!
464/27297	24762: label_stop finished!
465/27297	36131: label_stop finished!
466/27297	9027: label_stop finished!
467/27297	2445: label_stop finished!
468/27297	12748: label_stop finished!
469/27297	5460: label_stop finished!
470/27297	18365: label_stop finished!
471/27297	12140: label_stop finished!
472/27297	15616: label_stop finished!
473/27297	6280: label_stop finished!
474/27297	9826: label_stop finished!
475/27297	21605: label_stop finished!
476/27297	17176: label_stop finished!
477/27297	7712: label_stop finished!
478/27297	12551: label_stop finished!
479/27297	2685: label_stop finished!
480/27297	13815: label_stop finished!
481/27297	4063: label_stop finished!
482/27297	32458: label_stop finished!
483/27297	16564: label_stop finished!
484/27297	28009: label_stop finished!
485/27297	23115: label_stop finished!
486/27297	24383: label_stop finished!
487/27297	20970: label_stop finished!
488/27297	10224: label_stop finished!
489/27297	5359: label_stop finished!
490/27297	23280: label_stop finished!
491/27297	21481: label_stop finished!
492/27297	15926: label_stop finished!
493/27297	31580: label_stop finished!
494/27297	1057: label_stop finished!
495/27297	5682: label_stop finished!
496/27297	22771: label_stop finished!
497/27297	11581: label_stop finished!
498/27297	15785: label_stop finished!
499/27297	9727: label_stop finished!
500/27297	9616: label_stop finished!
501/27297	2857: label_stop finished!
502/27297	21628: label_stop finished!
503/27297	3014: label_stop finished!
504/27297	35469: label_stop finished!
505/27297	11690: label_stop finished!
506/27297	12653: label_stop finished!
507/27297	12182: label_stop finished!
508/27297	8397: label_stop finished!
509/27297	23531: label_stop finished!
510/27297	25329: label_stop finished!
511/27297	21312: label_stop finished!
512/27297	12788: label_stop finished!
513/27297	19876: label_stop finished!
514/27297	16347: label_stop finished!
515/27297	20520: label_stop finished!
516/27297	15599: label_stop finished!
517/27297	17275: label_stop finished!
518/27297	25794: label_stop finished!
519/27297	3505: label_stop finished!
520/27297	32653: label_stop finished!
521/27297	15006: label_stop finished!
522/27297	9681: label_stop finished!
523/27297	1770: label_stop finished!
524/27297	6728: label_stop finished!
525/27297	22365: label_stop finished!
526/27297	31819: label_stop finished!
527/27297	19226: label_stop finished!
528/27297	17517: label_stop finished!
529/27297	31385: label_stop finished!
530/27297	15266: label_stop finished!
531/27297	27822: label_stop finished!
532/27297	8988: label_stop finished!
533/27297	35021: label_stop finished!
534/27297	39134: label_stop finished!
535/27297	30504: label_stop finished!
536/27297	22607: label_stop finished!
537/27297	9501: label_stop finished!
538/27297	21245: label_stop finished!
539/27297	1313: label_stop finished!
540/27297	15661: label_stop finished!
541/27297	23222: label_stop finished!
542/27297	3520: label_stop finished!
543/27297	21379: label_stop finished!
544/27297	16770: label_stop finished!
545/27297	19837: label_stop finished!
546/27297	23171: label_stop finished!
547/27297	11602: label_stop finished!
548/27297	32140: label_stop finished!
549/27297	18435: label_stop finished!
550/27297	21998: label_stop finished!
551/27297	13355: label_stop finished!
552/27297	2880: label_stop finished!
553/27297	10460: label_stop finished!
554/27297	18632: label_stop finished!
555/27297	5086: label_stop finished!
556/27297	18390: label_stop finished!
557/27297	38786: label_stop finished!
558/27297	16095: label_stop finished!
559/27297	32022: label_stop finished!
560/27297	5512: label_stop finished!
561/27297	6779: label_stop finished!
562/27297	38130: label_stop finished!
563/27297	19804: label_stop finished!
564/27297	8577: label_stop finished!
565/27297	16050: label_stop finished!
566/27297	28209: label_stop finished!
567/27297	14649: label_stop finished!
568/27297	21790: label_stop finished!
569/27297	33875: label_stop finished!
570/27297	16422: label_stop finished!
571/27297	10803: label_stop finished!
572/27297	20021: label_stop finished!
573/27297	7132: label_stop finished!
574/27297	5396: label_stop finished!
575/27297	7638: label_stop finished!
576/27297	6168: label_stop finished!
577/27297	6069: label_stop finished!
578/27297	11338: label_stop finished!
579/27297	22404: label_stop finished!
580/27297	3009: label_stop finished!
581/27297	20613: label_stop finished!
582/27297	21108: label_stop finished!
583/27297	30307: label_stop finished!
584/27297	12300: label_stop finished!
585/27297	6820: label_stop finished!
586/27297	7518: label_stop finished!
587/27297	25241: label_stop finished!
588/27297	38746: label_stop finished!
589/27297	3630: label_stop finished!
590/27297	17727: label_stop finished!
591/27297	20623: label_stop finished!
592/27297	16026: label_stop finished!
593/27297	11529: label_stop finished!
594/27297	32063: label_stop finished!
595/27297	14388: label_stop finished!
596/27297	19907: label_stop finished!
597/27297	9476: label_stop finished!
598/27297	30109: label_stop finished!
599/27297	15193: label_stop finished!
600/27297	34986: label_stop finished!
601/27297	18129: label_stop finished!
602/27297	33669: label_stop finished!
603/27297	38235: label_stop finished!
604/27297	11013: label_stop finished!
605/27297	35147: label_stop finished!
606/27297	9564: label_stop finished!
607/27297	11009: label_stop finished!
608/27297	7608: label_stop finished!
609/27297	17353: label_stop finished!
610/27297	9327: label_stop finished!
611/27297	21214: label_stop finished!
612/27297	20728: label_stop finished!
613/27297	18490: label_stop finished!
614/27297	17310: label_stop finished!
615/27297	21495: label_stop finished!
616/27297	20884: label_stop finished!
617/27297	18294: label_stop finished!
618/27297	17076: label_stop finished!
619/27297	30488: label_stop finished!
620/27297	27952: label_stop finished!
621/27297	31475: label_stop finished!
622/27297	13590: label_stop finished!
623/27297	17823: label_stop finished!
624/27297	11037: label_stop finished!
625/27297	3599: label_stop finished!
626/27297	4614: label_stop finished!
627/27297	14905: label_stop finished!
628/27297	30784: label_stop finished!
629/27297	26826: label_stop finished!
630/27297	17799: label_stop finished!
631/27297	18066: label_stop finished!
632/27297	30828: label_stop finished!
633/27297	21106: label_stop finished!
634/27297	20181: label_stop finished!
635/27297	6823: label_stop finished!
636/27297	37952: label_stop finished!
637/27297	30624: label_stop finished!
638/27297	37910: label_stop finished!
639/27297	7801: label_stop finished!
640/27297	4343: label_stop finished!
641/27297	11457: label_stop finished!
642/27297	4825: label_stop finished!
643/27297	22551: label_stop finished!
644/27297	17326: label_stop finished!
645/27297	18275: label_stop finished!
646/27297	18364: label_stop finished!
647/27297	20632: label_stop finished!
648/27297	31696: label_stop finished!
649/27297	24476: label_stop finished!
650/27297	33007: label_stop finished!
651/27297	37354: label_stop finished!
652/27297	23198: label_stop finished!
653/27297	23624: label_stop finished!
654/27297	15075: label_stop finished!
655/27297	9777: label_stop finished!
656/27297	17205: label_stop finished!
657/27297	6472: label_stop finished!
658/27297	38564: label_stop finished!
659/27297	23250: label_stop finished!
660/27297	12424: label_stop finished!
661/27297	15633: label_stop finished!
662/27297	9687: label_stop finished!
663/27297	22516: label_stop finished!
664/27297	20037: label_stop finished!
665/27297	21163: label_stop finished!
666/27297	12492: label_stop finished!
667/27297	23770: label_stop finished!
668/27297	21158: label_stop finished!
669/27297	30580: label_stop finished!
670/27297	27082: label_stop finished!
671/27297	8999: label_stop finished!
672/27297	6222: label_stop finished!
673/27297	4540: label_stop finished!
674/27297	8973: label_stop finished!
675/27297	14631: label_stop finished!
676/27297	20557: label_stop finished!
677/27297	22652: label_stop finished!
678/27297	30899: label_stop finished!
679/27297	2464: label_stop finished!
680/27297	19053: label_stop finished!
681/27297	32372: label_stop finished!
682/27297	24610: label_stop finished!
683/27297	8744: label_stop finished!
684/27297	19880: label_stop finished!
685/27297	4920: label_stop finished!
686/27297	33328: label_stop finished!
687/27297	21833: label_stop finished!
688/27297	15897: label_stop finished!
689/27297	11006: label_stop finished!
690/27297	17377: label_stop finished!
691/27297	10047: label_stop finished!
692/27297	27703: label_stop finished!
693/27297	3649: label_stop finished!
694/27297	18467: label_stop finished!
695/27297	25013: label_stop finished!
696/27297	27340: label_stop finished!
697/27297	13863: label_stop finished!
698/27297	11882: label_stop finished!
699/27297	18393: label_stop finished!
700/27297	5109: label_stop finished!
701/27297	15073: label_stop finished!
702/27297	28081: label_stop finished!
703/27297	30049: label_stop finished!
704/27297	1196: label_stop finished!
705/27297	18788: label_stop finished!
706/27297	25265: label_stop finished!
707/27297	6805: label_stop finished!
708/27297	16777: label_stop finished!
709/27297	4134: label_stop finished!
710/27297	16581: label_stop finished!
711/27297	25267: label_stop finished!
712/27297	7143: label_stop finished!
713/27297	1601: label_stop finished!
714/27297	32490: label_stop finished!
715/27297	20619: label_stop finished!
716/27297	28080: label_stop finished!
717/27297	16242: label_stop finished!
718/27297	14955: label_stop finished!
719/27297	27691: label_stop finished!
720/27297	12389: label_stop finished!
721/27297	10238: label_stop finished!
722/27297	20394: label_stop finished!
723/27297	6231: label_stop finished!
724/27297	20288: label_stop finished!
725/27297	2131: label_stop finished!
726/27297	17352: label_stop finished!
727/27297	15825: label_stop finished!
728/27297	18049: label_stop finished!
729/27297	16208: label_stop finished!
730/27297	1297: label_stop finished!
731/27297	21015: label_stop finished!
732/27297	17391: label_stop finished!
733/27297	3843: label_stop finished!
734/27297	18024: label_stop finished!
735/27297	20867: label_stop finished!
736/27297	22971: label_stop finished!
737/27297	24353: label_stop finished!
738/27297	29315: label_stop finished!
739/27297	34797: label_stop finished!
740/27297	12860: label_stop finished!
741/27297	38128: label_stop finished!
742/27297	20750: label_stop finished!
743/27297	18990: label_stop finished!
744/27297	30441: label_stop finished!
745/27297	11235: label_stop finished!
746/27297	17072: label_stop finished!
747/27297	4187: label_stop finished!
748/27297	33367: label_stop finished!
749/27297	32044: label_stop finished!
750/27297	4039: label_stop finished!
751/27297	1277: label_stop finished!
752/27297	4326: label_stop finished!
753/27297	1521: label_stop finished!
754/27297	9966: label_stop finished!
755/27297	19745: label_stop finished!
756/27297	19738: label_stop finished!
757/27297	32965: label_stop finished!
758/27297	12582: label_stop finished!
759/27297	31809: label_stop finished!
760/27297	25828: label_stop finished!
761/27297	7446: label_stop finished!
762/27297	33297: label_stop finished!
763/27297	16397: label_stop finished!
764/27297	5052: label_stop finished!
765/27297	18311: label_stop finished!
766/27297	37464: label_stop finished!
767/27297	23369: label_stop finished!
768/27297	39151: label_stop finished!
769/27297	17287: label_stop finished!
770/27297	2269: label_stop finished!
771/27297	4645: label_stop finished!
772/27297	28857: label_stop finished!
773/27297	3602: label_stop finished!
774/27297	29228: label_stop finished!
775/27297	29691: label_stop finished!
776/27297	1218: label_stop finished!
777/27297	1444: label_stop finished!
778/27297	35176: label_stop finished!
779/27297	8546: label_stop finished!
780/27297	7569: label_stop finished!
781/27297	18854: label_stop finished!
782/27297	7110: label_stop finished!
783/27297	6174: label_stop finished!
784/27297	22735: label_stop finished!
785/27297	4755: label_stop finished!
786/27297	18389: label_stop finished!
787/27297	39205: label_stop finished!
788/27297	35592: label_stop finished!
789/27297	20738: label_stop finished!
790/27297	18889: label_stop finished!
791/27297	1849: label_stop finished!
792/27297	5413: label_stop finished!
793/27297	6808: label_stop finished!
794/27297	8844: label_stop finished!
795/27297	7924: label_stop finished!
796/27297	37508: label_stop finished!
797/27297	1436: label_stop finished!
798/27297	33355: label_stop finished!
799/27297	5455: label_stop finished!
800/27297	31305: label_stop finished!
801/27297	11252: label_stop finished!
