my results 	his results
[(23914L,)] 	[(36306L,)]
[(23021L,)] 	[(35499L,)]
[(23148L,)] 	[(35219L,)]
[(22498L,)] 	[(35293L,)]
[(22911L,)] 	[(34813L,)]
[(23436L,)] 	[(34801L,)]
[(23728L,)] 	[(34457L,)]
[(24162L,)] 	[(34849L,)]
[(23888L,)] 	[(34190L,)]
[(23810L,)] 	[(34477L,)]
[(22867L,)] 	[(34073L,)]
[(23174L,)] 	[(33608L,)]
[(24365L,)] 	[(33462L,)]
[(24956L,)] 	[(33513L,)]
[(23438L,)] 	[(32483L,)]
[(22791L,)] 	[(32113L,)]
[(25086L,)] 	[(33270L,)]
[(24057L,)] 	[(32421L,)]
[(24424L,)] 	[(33171L,)]
[(24440L,)] 	[(32739L,)]
[(26190L,)] 	[(33288L,)]
[(26710L,)] 	[(33007L,)]
[(27240L,)] 	[(33232L,)]
[(27572L,)] 	[(33198L,)]
[(27427L,)] 	[(33250L,)]
[(27164L,)] 	[(32404L,)]
[(28419L,)] 	[(32418L,)]
[(28880L,)] 	[(32471L,)]
[(29263L,)] 	[(32440L,)]
[(30061L,)] 	[(32496L,)]
[(30675L,)] 	[(32601L,)]
[(30950L,)] 	[(32134L,)]
[(31715L,)] 	[(32447L,)]
[(32024L,)] 	[(32497L,)]
[(31649L,)] 	[(31774L,)]
[(31708L,)] 	[(31712L,)]
[(32282L,)] 	[(32277L,)]
[(31534L,)] 	[(31565L,)]
[(31773L,)] 	[(31793L,)]
[(31672L,)] 	[(31706L,)]
[(31604L,)] 	[(31603L,)]
[(31178L,)] 	[(31215L,)]
[(31396L,)] 	[(31392L,)]
[(31255L,)] 	[(31252L,)]
[(31093L,)] 	[(31116L,)]
[(30945L,)] 	[(30966L,)]
[(30270L,)] 	[(30267L,)]
[(30491L,)] 	[(30479L,)]
[(29831L,)] 	[(29822L,)]
