gid                 my results          his results         difference          
126428              27.2692062472       33.0067663573       -5.7375601101       
160458              27.1411168044       27.3517972296       -0.210680425207     
120464              30.5813008905       26.0766633389       4.50463755161       
149053              1.5                 1.5                 0.0                 
102552              25.4258444419       30.5434584529       -5.11761401097      
20538               13.307853296        17.9852738629       -4.67742056696      
53812               29.6899614946       25.6845080932       4.00545340143       
151002              22.4907027259       31.0719649093       -8.58126218341      
67846               28.6113444774       23.9212608455       4.69008363189       
146440              26.2266363102       30.9759151583       -4.74927884809      
164852              26.8632042549       29.5385257735       -2.67532151854      
78158               25.0859916898       31.5875065124       -6.50151482262      
12480               31.4457225028       29.7859134919       1.65980901085       
94142               28.5498994359       24.8953755616       3.6545238743        
153291              20.8603841105       14.6738903762       6.18649373428       
71870               23.3803093881       24.8819525125       -1.50164312441      
106844              6.65743525567       8.8386658454        -2.18123058973      
111289              18.9966656072       25.4629322179       -6.4662666107       
159463              4.18381785005       5.0629753809        -0.879157530851     
107552              14.8523081089       18.2031044717       -3.35079636279      
61458               25.9656379846       14.7757795622       11.1898584224       
61462               17.9196489609       24.5837314827       -6.6640825218       
61456               23.4050709683       30.5011361898       -7.09606522145      
147786              23.6921661893       31.4394148383       -7.74724864898      
125862              6.30826886762       10.1792996338       -3.87103076614      
6714                19.3632938716       20.4836641518       -1.12037028022      
79774               18.501668721        13.0491769013       5.45249181972       
67990               21.418761342        22.5347262423       -1.11596490024      
38150               32.8695770681       32.9678964169       -0.0983193487744    
135598              30.6705184809       30.4074390176       0.263079463263      
166784              25.0087204776       30.0905077955       -5.0817873179       
36340               26.1159034331       29.5784812763       -3.46257784322      
124809              10.6219964704       9.98135394158       0.640642528869      
135424              9.87784905118       13.4111624075       -3.53331335633      
37954               28.3767309674       32.8582513823       -4.48152041492      
148738              23.4946874058       27.0889277318       -3.59424032604      
126756              23.1800705294       26.7197840154       -3.53971348595      
114270              22.0921533167       25.8533456278       -3.7611923111       
114280              24.155606579        24.6462441679       -0.490637588862     
133616              24.6725670816       22.7366622783       1.93590480323       
127212              11.6098068745       15.0927921121       -3.48298523754      
160352              28.6499688567       29.8071261568       -1.15715730008      
120664              18.8904638531       21.1177425626       -2.22727870956      
164846              20.4514855079       16.7831238458       3.66836166209       
78058               25.0180917973       24.0662087462       0.951883051037      
99650               22.0199139118       24.0018767718       -1.98196285997      
86284               19.945674543        22.0281863472       -2.08251180422      
21002               21.0234922061       20.5600033504       0.463488855646      
140630              11.7325496649       11.9088805846       -0.176330919725     
83282               26.2079576195       20.9819841313       5.22597348826       
104988              28.0966042751       25.1913237853       2.90528048973       
159436              28.8404310146       26.9170893129       1.92334170176       
159441              28.3322718328       27.7539608379       0.578310994861      
115605              29.939182075        27.7573507782       2.18183129682       
110160              32.0077337117       29.8292889847       2.17844472703       
22627               11.3882676534       11.3420369735       0.0462306799754     
22626               10.9003872534       12.5466893077       -1.64630205434      
131120              13.5313471016       15.0131639202       -1.48181681868      
77484               29.3297161623       31.8755717897       -2.54585562737      
145002              6.98888933161       6.49069724897       0.498192082642      
134150              26.5841978989       30.277357203        -3.69315930417      
127956              17.7296327817       28.4935216798       -10.7638888981      
30566               24.8499201519       26.9274990412       -2.07757888931      
95868               30.65004069         31.324275005        -0.674234315064     
161086              29.3757508741       28.6843486167       0.691402257463      
41664               22.1482658378       31.9860605832       -9.83779474535      
7228                27.3542033485       28.8215646046       -1.4673612561       
131450              28.8185390562       27.5728565463       1.24568250986       
45836               16.4457060779       22.9001865659       -6.45448048805      
40412               16.5883405289       13.1961637591       3.39217676984       
148682              32.4934795827       24.6403560436       7.85312353917       
40322               32.14168204         26.9927340722       5.14894796776       
94544               29.6797959375       23.3999570529       6.27983888451       
29748               22.295105746        27.6624238637       -5.36731811765      
16982               14.8842775666       20.3137822415       -5.42950467497      
93156               11.6467680321       21.8971461609       -10.2503781288      
167520              23.7736505164       29.2219688513       -5.44831833486      
167522              30.2928345944       27.825827826        2.46700676835       
123748              27.5400585839       31.4507546058       -3.91069602185      
26132               24.2094661273       18.2026493475       6.00681677983       
66576               6.3311423457        9.60305486685       -3.27191252115      
103190              26.6340627906       23.812056227        2.82200656362       
113812              30.4788903042       29.3673474309       1.11154287322       
115454              29.7619192259       30.2569120589       -0.494992832964     
79310               26.7909001466       16.1203412052       10.6705589414       
127302              13.3558234505       19.1685196943       -5.81269624382      
134728              4.07228884819       3.72458271383       0.347706134364      
139546              32.101170473        30.3746246991       1.72654577388       
85292               30.4019218905       29.1531289214       1.24879296916       
150396              27.9289484791       24.9986086196       2.93033985951       
85294               18.8982042447       28.5829251698       -9.68472092512      
150398              22.7366944129       29.8404954797       -7.10380106677      
60436               5.64775346501       5.4409967497        0.206756715316      
145683              28.2655929183       25.4662383831       2.79935453524       
80703               27.2940283714       20.1558361704       7.13819220104       
167489              25.7890928806       33.2805081995       -7.4914153189       
134673              32.8965050534       29.5390610151       3.3574440383        
136456              22.5009184247       28.3492352649       -5.84831684019      
38992               27.606084654        25.1485094827       2.4575751713        
50098               24.6215950862       26.636970687        -2.01537560084      
15166               26.3432201855       28.7069975325       -2.36377734702      
2944                20.943901017        31.6432355315       -10.6993345145      
2946                12.0680290981       9.1128475518        2.95518154628       
5440                18.5064550363       18.9775753354       -0.471120299115     
134604              19.9957417952       26.0147746997       -6.01903290453      
60405               14.009388331        14.112996608        -0.103608277039     
71196               14.7731562077       15.7012241855       -0.92806797785      
146686              20.755518191        25.0157515796       -4.26023338862      
167784              28.1619303251       28.4862321858       -0.324301860762     
124992              13.3389517001       22.7336856563       -9.39473395616      
580                 33.2868537693       31.7877799792       1.49907379007       
22892               29.8301621009       32.4987747928       -2.66861269198      
45184               31.5758791366       31.7673370869       -0.191457950293     
99256               30.1156923908       31.2676263647       -1.15193397391      
153890              30.3892896377       30.5403793499       -0.151089712209     
78114               30.561761623        31.595556382        -1.03379475896      
19572               30.106448678        29.495945542        0.610503136015      
52828               31.5585461462       31.07596181         0.482584336208      
147540              31.3812973555       30.1801288121       1.20116854333       
39148               31.9181018511       28.6055381984       3.31256365273       
40080               14.0607395644       14.5076859839       -0.446946419538     
6892                21.9560767743       19.028404734        2.9276720403        
135956              25.7744679741       20.1098779458       5.66459002825       
38500               19.1369044752       20.5364520374       -1.39954756223      
49622               18.7453818423       22.4062723683       -3.66089052605      
147012              26.3835169025       29.1404321304       -2.75691522796      
105920              15.0669788745       15.7183624662       -0.651383591763     
160516              15.0817331544       18.8935326218       -3.81179946735      
